hflu;spn;mcat
>lcl|NZ_QWLX01000001.1_cds_WP_005648344.1_106 [locus_tag=FA898_RS00550] [protein=YciI family protein] [protein_id=WP_005648344.1] [location=100291..100587] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000167454.1_106 [locus_tag=SPNHU17_RS00565] [protein=PTS sugar transporter subunit IIA] [protein_id=WP_000167454.1] [location=105794..106198] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658612.1_106 [locus_tag=MC195_RS00560] [db_xref=GeneID:66585007] [protein=FxsA family protein] [protein_id=WP_003658612.1] [location=102335..102916] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648342.1_107 [locus_tag=FA898_RS00555] [protein=transglycosylase SLT domain-containing protein] [protein_id=WP_005648342.1] [location=100603..102384] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000903560.1_107 [locus_tag=SPNHU17_RS00570] [protein=SIS domain-containing protein] [protein_id=WP_000903560.1] [location=106451..107617] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003671992.1_107 [locus_tag=MC195_RS00565] [db_xref=GeneID:66585008] [protein=MATE family efflux transporter] [protein_id=WP_003671992.1] [location=complement(102949..104343)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005629736.1_108 [gene=trpR] [locus_tag=FA898_RS00560] [protein=trp operon repressor] [protein_id=WP_005629736.1] [location=102422..102727] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000649428.1_108 [locus_tag=SPNHU17_RS00575] [protein=galactose mutarotase] [protein_id=WP_000649428.1] [location=107733..108770] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656928.1_108 [locus_tag=MC195_RS00570] [db_xref=GeneID:66585009] [protein=putative lipid II flippase FtsW] [protein_id=WP_003656928.1] [location=complement(104519..105694)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666147.1_109 [gene=mtgA] [locus_tag=FA898_RS00565] [protein=monofunctional biosynthetic peptidoglycan transglycosylase] [protein_id=WP_005666147.1] [location=102714..103454] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000220709.1_109 [locus_tag=SPNHU17_RS00580] [protein=VOC family protein] [protein_id=WP_000220709.1] [location=108977..109831] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658610.1_109 [gene=murD] [locus_tag=MC195_RS00575] [db_xref=GeneID:66585010] [protein=UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase] [protein_id=WP_003658610.1] [location=complement(105867..107267)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648338.1_110 [gene=frdD] [locus_tag=FA898_RS00570] [protein=fumarate reductase subunit FrdD] [protein_id=WP_005648338.1] [location=complement(103560..103904)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000185153.1_110 [locus_tag=SPNHU17_RS00585] [protein=metal-sensitive transcriptional regulator] [protein_id=WP_000185153.1] [location=109981..110238] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656923.1_110 [gene=glnK] [locus_tag=MC195_RS00580] [db_xref=GeneID:66585011] [protein=P-II family nitrogen regulator] [protein_id=WP_003656923.1] [location=107466..107804] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648336.1_111 [gene=frdC] [locus_tag=FA898_RS00575] [protein=fumarate reductase subunit FrdC] [protein_id=WP_005648336.1] [location=complement(103917..104327)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_111 [locus_tag=SPNHU17_RS00590] [protein=UDP-galactopyranose mutase] [pseudo=true] [partial=5',3'] [location=complement(<110568..>110660)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003656921.1_111 [locus_tag=MC195_RS00585] [db_xref=GeneID:66585012] [protein=hypothetical protein] [protein_id=WP_003656921.1] [location=complement(107918..108283)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005639269.1_112 [locus_tag=FA898_RS00580] [protein=succinate dehydrogenase/fumarate reductase iron-sulfur subunit] [protein_id=WP_005639269.1] [location=complement(104338..105108)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_112 [locus_tag=SPNHU17_RS00595] [protein=rhodanese-like domain-containing protein] [pseudo=true] [location=complement(110696..110992)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658608.1_112 [locus_tag=MC195_RS00590] [db_xref=GeneID:66585013] [protein=hypothetical protein] [protein_id=WP_003658608.1] [location=complement(108498..108746)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_020910174.1_113 [gene=frdA] [locus_tag=FA898_RS00585] [protein=fumarate reductase (quinol) flavoprotein subunit] [protein_id=WP_020910174.1] [location=complement(105101..106900)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_014932007.1_113 [locus_tag=SPNHU17_RS00600] [protein=NAD(FAD)-dependent dehydrogenase] [protein_id=WP_014932007.1] [location=complement(110982..111143)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_049148558.1_113 [locus_tag=MC195_RS00595] [db_xref=GeneID:66585014] [protein=DNA/RNA non-specific endonuclease] [protein_id=WP_049148558.1] [location=complement(108775..109824)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648321.1_114 [gene=epmA] [locus_tag=FA898_RS00590] [protein=elongation factor P--(R)-beta-lysine ligase] [protein_id=WP_005648321.1] [location=107111..108082] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000614999.1_114 [locus_tag=SPNHU17_RS00605] [protein=nucleoside phosphorylase] [protein_id=WP_000614999.1] [location=111213..111977] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_049148557.1_114 [gene=mutY] [locus_tag=MC195_RS00600] [db_xref=GeneID:66585015] [protein=A/G-specific adenine glycosylase] [protein_id=WP_049148557.1] [location=109920..111152] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648319.1_115 [locus_tag=FA898_RS00595] [protein=response regulator] [protein_id=WP_005648319.1] [location=complement(108346..109029)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000897727.1_115 [locus_tag=SPNHU17_RS00610] [protein=TrkH family potassium uptake protein] [protein_id=WP_000897727.1] [location=112542..113921] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658604.1_115 [locus_tag=MC195_RS00605] [db_xref=GeneID:66585016] [protein=polyprenyl synthetase family protein] [protein_id=WP_003658604.1] [location=complement(111184..112230)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648317.1_116 [gene=bamE] [locus_tag=FA898_RS00600] [protein=outer membrane protein assembly factor BamE] [protein_id=WP_005648317.1] [location=complement(109080..109493)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001283896.1_116 [locus_tag=SPNHU17_RS00615] [protein=TrkA family potassium uptake protein] [protein_id=WP_001283896.1] [location=113935..114600] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658602.1_116 [locus_tag=MC195_RS00615] [db_xref=GeneID:66585018] [protein=D-2-hydroxyacid dehydrogenase] [protein_id=WP_003658602.1] [location=complement(112491..113447)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666137.1_117 [gene=yejK] [locus_tag=FA898_RS00605] [protein=nucleoid-associated protein YejK] [protein_id=WP_005666137.1] [location=complement(109559..110575)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000771898.1_117 [locus_tag=SPNHU17_RS00620] [protein=glycosyltransferase family 2 protein] [protein_id=WP_000771898.1] [location=114910..115449] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003672553.1_117 [gene=rapA] [locus_tag=MC195_RS00620] [db_xref=GeneID:66585019] [protein=RNA polymerase-associated protein RapA] [protein_id=WP_003672553.1] [location=113671..116535] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005625990.1_118 [locus_tag=FA898_RS00610] [protein=YejL family protein] [protein_id=WP_005625990.1] [location=110701..110919] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000291598.1_118 [locus_tag=SPNHU17_RS00625] [protein=hypothetical protein] [protein_id=WP_000291598.1] [location=115516..115926] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657715.1_118 [locus_tag=MC195_RS00625] [db_xref=GeneID:66585020] [protein=YifB family Mg chelatase-like AAA ATPase] [protein_id=WP_003657715.1] [location=116621..118135] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648313.1_119 [locus_tag=FA898_RS00615] [protein=DUF3413 domain-containing protein] [protein_id=WP_005648313.1] [location=110921..112678] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_119 [gene=pavB] [locus_tag=SPNHU17_RS00630] [protein=fibronectin-binding SSURE repeat adhesin PavB] [pseudo=true] [partial=3'] [location=116042..>116962] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_172830168.1_119 [locus_tag=MC195_RS00630] [db_xref=GeneID:66585021] [protein=FAD-dependent oxidoreductase] [protein_id=WP_172830168.1] [location=complement(118236..120308)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648312.1_120 [locus_tag=FA898_RS00620] [protein=amidohydrolase family protein] [protein_id=WP_005648312.1] [location=113079..114071] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_179131941.1_120 [locus_tag=SPNHU17_RS00635] [protein=fibronectin-binding SSURE repeat-containing protein] [frame=2] [partial=5',3'] [protein_id=WP_179131941.1] [location=<117529..>117936] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003663769.1_120 [locus_tag=MC195_RS00635] [db_xref=GeneID:66585022] [protein=TIGR01244 family phosphatase] [protein_id=WP_003663769.1] [location=120652..120987] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648310.1_121 [gene=mobA] [locus_tag=FA898_RS00625] [protein=molybdenum cofactor guanylyltransferase MobA] [protein_id=WP_005648310.1] [location=complement(114210..114788)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000542024.1_121 [locus_tag=SPNHU17_RS00640] [protein=LPXTG cell wall anchor domain-containing protein] [frame=2] [partial=5'] [protein_id=WP_000542024.1] [location=<118100..118433] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003670561.1_121 [gene=map] [locus_tag=MC195_RS00640] [db_xref=GeneID:66585023] [protein=type I methionyl aminopeptidase] [protein_id=WP_003670561.1] [location=121198..121986] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648308.1_122 [locus_tag=FA898_RS00630] [protein=YihD family protein] [protein_id=WP_005648308.1] [location=114858..115124] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000520642.1_122 [locus_tag=SPNHU17_RS00645] [protein=response regulator transcription factor] [protein_id=WP_000520642.1] [location=118600..119298] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569701.1_122 [gene=glnD] [locus_tag=MC195_RS00645] [db_xref=GeneID:66585024] [protein=[protein-PII] uridylyltransferase] [protein_id=WP_081569701.1] [location=122107..124857] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648306.1_123 [locus_tag=FA898_RS00635] [protein=DsbA family protein] [protein_id=WP_005648306.1] [location=115135..115752] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000769768.1_123 [locus_tag=SPNHU17_RS00650] [protein=HAMP domain-containing histidine kinase] [protein_id=WP_000769768.1] [location=119295..120347] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569702.1_123 [locus_tag=MC195_RS00650] [db_xref=GeneID:66585025] [protein=WG repeat-containing protein] [protein_id=WP_081569702.1] [location=125020..125883] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648303.1_124 [locus_tag=FA898_RS00640] [protein=DUF413 domain-containing protein] [protein_id=WP_005648303.1] [location=115814..116149] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000092756.1_124 [gene=rpsD] [locus_tag=SPNHU17_RS00655] [protein=30S ribosomal protein S4] [protein_id=WP_000092756.1] [location=120542..121153] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569703.1_124 [locus_tag=MC195_RS00655] [db_xref=GeneID:66585026] [protein=hypothetical protein] [protein_id=WP_081569703.1] [location=complement(126021..126413)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666131.1_125 [gene=trmA] [locus_tag=FA898_RS00645] [protein=tRNA (uridine(54)-C5)-methyltransferase TrmA] [protein_id=WP_005666131.1] [location=116293..117384] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001818684.1_125 [locus_tag=SPNHU17_RS00660] [protein=hypothetical protein] [protein_id=WP_001818684.1] [location=122192..122452] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658502.1_125 [locus_tag=MC195_RS00665] [db_xref=GeneID:66585028] [protein=YihY family inner membrane protein] [protein_id=WP_003658502.1] [location=complement(127332..128834)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648299.1_126 [locus_tag=FA898_RS00650] [protein=class I SAM-dependent methyltransferase] [protein_id=WP_005648299.1] [location=117366..118139] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001809441.1_126 [locus_tag=SPNHU17_RS00665] [protein=hypothetical protein] [protein_id=WP_001809441.1] [location=122406..122627] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003666686.1_126 [gene=wrbA] [locus_tag=MC195_RS00670] [db_xref=GeneID:66585029] [protein=NAD(P)H:quinone oxidoreductase] [protein_id=WP_003666686.1] [location=129126..129731] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648296.1_127 [locus_tag=FA898_RS00655] [protein=SoxR reducing system RseC family protein] [protein_id=WP_005648296.1] [location=118133..118567] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000714582.1_127 [locus_tag=SPNHU17_RS00670] [protein=sugar ABC transporter permease] [protein_id=WP_000714582.1] [location=122946..123875] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657726.1_127 [locus_tag=MC195_RS00675] [db_xref=GeneID:66585030] [protein=hypothetical protein] [protein_id=WP_003657726.1] [location=129728..130159] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005645740.1_128 [locus_tag=FA898_RS00660] [protein=hypothetical protein] [protein_id=WP_005645740.1] [location=118680..118901] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001075102.1_128 [locus_tag=SPNHU17_RS00675] [protein=carbohydrate ABC transporter permease] [protein_id=WP_001075102.1] [location=123889..124812] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657727.1_128 [locus_tag=MC195_RS00680] [db_xref=GeneID:66585031] [protein=DUF3108 domain-containing protein] [protein_id=WP_003657727.1] [location=complement(130373..131023)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648290.1_129 [gene=mobB] [locus_tag=FA898_RS00665] [protein=molybdopterin-guanine dinucleotide biosynthesis protein B] [protein_id=WP_005648290.1] [location=119055..119570] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000800407.1_129 [locus_tag=SPNHU17_RS00680] [protein=DUF3502 domain-containing protein] [protein_id=WP_000800407.1] [location=125070..126545] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_196758387.1_129 [locus_tag=MC195_RS00685] [db_xref=GeneID:66585032] [protein=co-chaperone GroES] [protein_id=WP_196758387.1] [location=131400..131693] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648287.1_130 [locus_tag=FA898_RS00670] [protein=multidrug efflux MFS transporter] [protein_id=WP_005648287.1] [location=119567..120958] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001030014.1_130 [locus_tag=SPNHU17_RS00685] [protein=rhodanese-related sulfurtransferase] [protein_id=WP_001030014.1] [location=126817..127803] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003669834.1_130 [gene=groL] [locus_tag=MC195_RS00690] [db_xref=GeneID:66585033] [protein=chaperonin GroEL] [protein_id=WP_003669834.1] [location=131819..133456] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666126.1_131 [locus_tag=FA898_RS00675] [protein=ABC transporter substrate-binding protein] [protein_id=WP_005666126.1] [location=121105..122748] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_131 [locus_tag=SPNHU17_RS00690] [protein=DUF4299 domain-containing protein] [pseudo=true] [location=127925..128745] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657730.1_131 [gene=lgt] [locus_tag=MC195_RS00695] [db_xref=GeneID:66585034] [protein=prolipoprotein diacylglyceryl transferase] [protein_id=WP_003657730.1] [location=133658..134536] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648282.1_132 [locus_tag=FA898_RS00680] [protein=HugZ family heme oxygenase] [protein_id=WP_005648282.1] [location=122924..123685] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000808456.1_132 [locus_tag=SPNHU17_RS00695] [protein=membrane protein] [protein_id=WP_000808456.1] [location=complement(128923..129987)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658496.1_132 [locus_tag=MC195_RS00700] [db_xref=GeneID:66585035] [protein=thymidylate synthase] [protein_id=WP_003658496.1] [location=134533..135375] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648281.1_133 [locus_tag=FA898_RS00685] [protein=hypothetical protein] [protein_id=WP_005648281.1] [location=complement(123822..124166)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001233696.1_133 [locus_tag=SPNHU17_RS00700] [protein=DUF4097 domain-containing protein] [protein_id=WP_001233696.1] [location=complement(130050..130961)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003674168.1_133 [locus_tag=MC195_RS00705] [db_xref=GeneID:66585036] [protein=dihydrofolate reductase] [protein_id=WP_003674168.1] [location=135372..135887] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136429006.1_134 [gene=polA] [locus_tag=FA898_RS00690] [protein=DNA polymerase I] [protein_id=WP_136429006.1] [location=complement(124181..126988)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000198697.1_134 [locus_tag=SPNHU17_RS00705] [protein=DUF1700 domain-containing protein] [protein_id=WP_000198697.1] [location=complement(130954..131547)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003673361.1_134 [locus_tag=MC195_RS00710] [db_xref=GeneID:66585037] [protein=FAD:protein FMN transferase] [protein_id=WP_003673361.1] [location=135941..136984] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_061723752.1_135 [locus_tag=FA898_RS00695] [protein=cell division protein ZapA] [protein_id=WP_061723752.1] [location=127137..127439] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000273864.1_135 [locus_tag=SPNHU17_RS00710] [protein=PadR family transcriptional regulator] [protein_id=WP_000273864.1] [location=complement(131534..131860)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657735.1_135 [locus_tag=MC195_RS00715] [db_xref=GeneID:66585038] [protein=hypothetical protein] [protein_id=WP_003657735.1] [location=137123..137569] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_061723753.1_136 [locus_tag=FA898_RS00705] [protein=5-formyltetrahydrofolate cyclo-ligase] [protein_id=WP_061723753.1] [location=127757..128320] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000744892.1_136 [locus_tag=SPNHU17_RS00715] [protein=CynX/NimT family MFS transporter] [protein_id=WP_000744892.1] [location=complement(131999..133165)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657736.1_136 [gene=ubiM] [locus_tag=MC195_RS00720] [db_xref=GeneID:66585039] [protein=5-demethoxyubiquinol-8 5-hydroxylase UbiM] [protein_id=WP_003657736.1] [location=137632..138828] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_112130572.1_137 [gene=clpB] [locus_tag=FA898_RS00710] [protein=ATP-dependent chaperone ClpB] [protein_id=WP_112130572.1] [location=128448..131018] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000096198.1_137 [locus_tag=SPNHU17_RS00720] [protein=glycosyltransferase family 2 protein] [protein_id=WP_000096198.1] [location=133223..134380] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_049155991.1_137 [locus_tag=MC195_RS00725] [db_xref=GeneID:66585040] [protein=tyrosine recombinase XerC] [protein_id=WP_049155991.1] [location=complement(139127..140119)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005655733.1_138 [gene=rlmB] [locus_tag=FA898_RS00715] [protein=23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB] [protein_id=WP_005655733.1] [location=complement(131055..131795)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001035700.1_138 [locus_tag=SPNHU17_RS00725] [protein=polysaccharide biosynthesis protein] [protein_id=WP_001035700.1] [location=134422..136272] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657738.1_138 [gene=dapF] [locus_tag=MC195_RS00730] [db_xref=GeneID:66585041] [protein=diaminopimelate epimerase] [protein_id=WP_003657738.1] [location=complement(140119..141018)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_136429007.1_139 [gene=rnr] [locus_tag=FA898_RS00720] [protein=ribonuclease R] [protein_id=WP_136429007.1] [location=complement(131851..134199)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000200894.1_139 [locus_tag=SPNHU17_RS00730] [protein=HAD family hydrolase] [protein_id=WP_000200894.1] [location=complement(136533..137165)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569704.1_139 [gene=lysA] [locus_tag=MC195_RS00735] [db_xref=GeneID:66585042] [protein=diaminopimelate decarboxylase] [protein_id=WP_081569704.1] [location=complement(141283..142590)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648274.1_140 [locus_tag=FA898_RS00725] [protein=YadA C-terminal domain-containing protein] [protein_id=WP_005648274.1] [location=134481..134957] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000500040.1_140 [gene=sdaAA] [locus_tag=SPNHU17_RS00735] [protein=L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha] [protein_id=WP_000500040.1] [location=complement(137187..138059)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569705.1_140 [locus_tag=MC195_RS00740] [db_xref=GeneID:66585043] [protein=lipoprotein] [protein_id=WP_081569705.1] [location=complement(142631..142777)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_141 [locus_tag=FA898_RS00730] [protein=ABC transporter substrate-binding protein] [pseudo=true] [location=135098..136039] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000838917.1_141 [gene=sdaAB] [locus_tag=SPNHU17_RS00740] [protein=L-serine ammonia-lyase, iron-sulfur-dependent subunit beta] [protein_id=WP_000838917.1] [location=complement(138068..138739)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657742.1_141 [locus_tag=MC195_RS00745] [db_xref=GeneID:66585044] [protein=acetate kinase] [protein_id=WP_003657742.1] [location=143135..144319] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_142 [locus_tag=FA898_RS00735] [protein=iron ABC transporter permease] [pseudo=true] [location=136054..137066] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000836450.1_142 [locus_tag=SPNHU17_RS00745] [protein=LysM peptidoglycan-binding domain-containing protein] [protein_id=WP_000836450.1] [location=138981..139568] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003658487.1_142 [gene=pta] [locus_tag=MC195_RS00750] [db_xref=GeneID:66585045] [protein=phosphate acetyltransferase] [protein_id=WP_003658487.1] [location=144407..145876] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666118.1_143 [locus_tag=FA898_RS00740] [protein=ABC transporter ATP-binding protein] [protein_id=WP_005666118.1] [location=137063..137803] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001268178.1_143 [locus_tag=SPNHU17_RS00750] [protein=helix-turn-helix transcriptional regulator] [protein_id=WP_001268178.1] [location=complement(139620..140483)] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_003657744.1_143 [gene=ykgO] [locus_tag=MC195_RS00755] [db_xref=GeneID:66585046] [protein=type B 50S ribosomal protein L36] [protein_id=WP_003657744.1] [location=146147..146287] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005648255.1_144 [locus_tag=FA898_RS00745] [protein=molybdate ABC transporter substrate-binding protein] [protein_id=WP_005648255.1] [location=137813..138538] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_001108797.1_144 [locus_tag=SPNHU17_RS00755] [protein=hypothetical protein] [protein_id=WP_001108797.1] [location=140806..141393] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569706.1_144 [gene=yaaA] [locus_tag=MC195_RS00760] [db_xref=GeneID:66585047] [protein=peroxide stress protein YaaA] [protein_id=WP_081569706.1] [location=complement(146422..147195)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666116.1_145 [gene=mutM] [locus_tag=FA898_RS00750] [protein=bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase] [protein_id=WP_005666116.1] [location=138587..139399] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_078136768.1_145 [locus_tag=SPNHU17_RS00760] [protein=lactococcin 972 family bacteriocin] [protein_id=WP_078136768.1] [location=142249..142542] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569707.1_145 [locus_tag=MC195_RS00765] [db_xref=GeneID:66585048] [protein=enoyl-CoA hydratase/isomerase family protein] [protein_id=WP_081569707.1] [location=147284..148480] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666114.1_146 [locus_tag=FA898_RS00755] [protein=glycosyltransferase family 9 protein] [protein_id=WP_005666114.1] [location=complement(139402..140433)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000723959.1_146 [locus_tag=SPNHU17_RS00765] [protein=bacteriocin-associated integral membrane family protein] [protein_id=WP_000723959.1] [location=142597..144705] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_081569708.1_146 [locus_tag=MC195_RS00770] [db_xref=GeneID:66585049] [protein=rhomboid family intramembrane serine protease] [protein_id=WP_081569708.1] [location=complement(148572..149177)] [gbkey=CDS]
>lcl|NZ_QWLX01000001.1_cds_WP_005666112.1_147 [locus_tag=FA898_RS00760] [protein=glycosyltransferase family 25 protein] [protein_id=WP_005666112.1] [location=complement(140436..141104)] [gbkey=CDS];>lcl|NZ_CP020549.1_cds_WP_000571330.1_147 [locus_tag=SPNHU17_RS00770] [protein=ABC transporter ATP-binding protein] [protein_id=WP_000571330.1] [location=144702..145343] [gbkey=CDS];>lcl|NZ_CP018059.1_cds_WP_049156000.1_147 [locus_tag=MC195_RS00775] [db_xref=GeneID:66585050] [protein=OmpA family protein] [protein_id=WP_049156000.1] [location=149715..151370] [gbkey=CDS]
